Number replicate;cycle;fungicide;Region;Actinospora megalospora;Alatospora acuminata;Alatospora constricta;Alatospora pulchella;Alatospora sp.;Anguillaspora sp.;Anguillospora filiformis;Anguillospora furtiva;Anguillospora fustiformis;Anguillospora longissima;Anguillospora rosea;Anguillospora sp.;Articulospora tetracladia;Clavariopsis aquatica;Cylindrocarpon aquatica;Cylindrocarpon sp.;Filosporella sp.;Flagellospora curvula;Flagellospora fusaroides;Flagellospora penicillioides;Flagellospora sp.;Fontanospora eccentrica;Fusarium sp.;Geniculospora inflata;Heliscus lugdunensis;Heliscus tentaculus;Infundibura sp.;Lemoniera cornuta;Lemonniera sp. 1;Lemonniera 2;Lemonniera aquatica;Lemonniera sp. 2;Lemonniera terrestris;Unknown 1;Unknown 2;Unknown 3;Unknown 4;Mycocentrospora clavata;Mycocentrospora sp. ;Neonectria lugdunensis;Sigmoida Aurantiaca;Stenocladiella neglecta;Unknown 5;Tetrachaetum elegans;Tetracladium furcatum;Tetracladium marchalianum;Tetracladium setigerum;Tetracladium sp.;Tricladium angulatum;Tricladium attentatum;Tricladium attenuatum;Tricladium chaetocladium;Tricladium curvisporum;Tricladium sp.;Tricladium splendens;Tumularia aquatica;Unkown 7;Varicosporium elodeae;Ypsiliana graminea
1;1;control;SW;0;0;0;0;217.5176075;0;0;0;0;0;0;1289.568673;0;0;0;4.661091589;0;431.9278206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51.27200748;0;0;0;9.322183178;0;0;0;0;0;0;6.214788785;0;0;0;0;0;0;0;0
2;1;control;SW;0;0;0;0;130.2190476;0;0;0;0;0;0;34.43809524;5.380952381;0;0;0;0;1.076190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.304761905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;control;SW;0;0;0;0;3.221813953;0;0;0;0;0;0;873.1115814;3.221813953;0;0;0;0;106.3198605;0;0;0;0;0;0;0;0;0;0;0;0;6.443627907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;1;control;SW;0;0;0;0;9.935312679;0;0;0;0;0;0;206.6545037;5.961187608;0;0;0.993531268;0;11.92237522;0;0;0;0;0;0;0;0;0;0;0;0;2.980593804;0;1.987062536;0;0;0;0;0;0;5.961187608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;control;SW;0;0;0;0;25.61565485;0;0;0;0;0;0;1184.724037;3.201956857;0;0;0;0;54.43326656;0;0;0;0;0;0;0;0;0;0;0;0;28.81761171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;TU-1;SW;0;0;0;0;21.15682127;0;0;0;0;0;0;406.6811199;162.2022964;0;0;7.052273756;0;14.10454751;0;0;0;0;0;0;0;0;0;0;0;0;2.350757919;0;0;0;0;0;0;2.350757919;0;133.9932014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;TU-1;SW;0;0;0;0;15.14352341;0;0;0;0;0;0;2097.377992;30.28704682;0;0;0;0;325.5857533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;1;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;3029.814797;22.52650407;0;0;0;0;191.4752846;0;0;0;0;0;0;0;0;0;0;0;0;56.31626016;0;11.26325203;0;0;0;0;0;0;56.31626016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;1676.273934;11.32617523;0;0;28.31543807;0;62.29396376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.663087614;0;0;0;0;11.32617523;0;164.2295408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;1;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;863.1457642;90.04038548;0;0;3.104840879;0;46.57261318;0;0;0;0;0;0;0;0;0;0;0;0;3.104840879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;TU-1;SW;0;0;0;0;2.108003652;0;0;0;0;0;0;567.0529823;0;0;0;0;0;44.26807669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.18804017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2;control;SW;0;0;0;0;66.6549802;0;0;0;0;0;0;134.3198843;0;0;0;1.009923942;0;13.12901125;0;0;0;0;0;0;0;0;0;0;0;0;1.009923942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;control;SW;0;0;0;0;76.29639224;0;0;0;0;0;0;42.38688458;1.059672114;0;0;0;0;3.179016343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;control;SW;0;0;0;0;2.421146452;0;0;0;0;0;0;690.0267389;0;0;0;0;0;48.42292905;0;0;0;0;0;0;0;0;0;0;0;0;4.842292905;0;7.263439357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;2;control;SW;0;0;0;0;23.09024975;0;0;0;0;0;0;334.8086214;0;0;0;0;0;34.63537463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;2;control;SW;0;0;0;0;42.06619433;0;0;0;0;0;0;1097.545252;11.47259845;0;0;0;0;80.30818918;0;0;0;0;0;0;0;0;0;0;0;0;3.824199485;0;3.824199485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2;control;SW;0;0;0;0;18.69293304;0;0;0;0;0;0;87.62312363;0;0;0;0;0;1.168308315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;568.0320328;0;0;0;0;0;168.3057875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;TU-1;SW;0;0;0;0;1.477581058;0;0;0;0;0;0;492.0344923;1.477581058;0;0;0;0;54.67049915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;153.3250998;0;0;0;0;0;18.3074746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.144217163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;2;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;13.66215039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;2;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;295.4630828;0;0;0;0;0;42.73226403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.546452807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;32.2962514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;3;control;SW;0;0;0;0;49.65928886;0;0;0;0;0;0;186.6504306;0;0;0;0;0;114.7300812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.69911417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;3;control;SW;0;0;0;0;14.90457235;0;0;0;0;0;0;21.29224622;0;0;0;0;0;3.193836932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;control;SW;0;0;0;0;1.116461613;0;0;0;0;0;0;170.8186268;0;0;0;0;0;18.97984742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;3;control;SW;0;0;0;0;18.07066496;0;0;0;0;0;0;71.15324329;0;0;0;0;0;10.16474904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.517666241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;3;control;SW;0;0;0;0;2.063010027;0;0;0;0;0;0;179.4818723;2.063010027;0;0;0;0;13.40956517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;3;control;SW;0;0;0;0;11.00867032;0;0;0;0;0;0;328.0583754;0;0;0;0;0;34.12687798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;3;TU-1;SW;0;0;0;0;3.167145905;0;0;0;0;0;0;77.06721703;0;0;0;0;0;6.334291811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;3;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;31.53644827;0;0;0;0;0;1.212940318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;30.37004019;2.336156938;0;0;0;0;2.336156938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.168078469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;3;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;53.78913806;0;0;0;0;0;1.955968657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;3;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;1.241342851;0;0;0;0;0;1.241342851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;3;TU-1;SW;0;0;0;0;0;0;0;0;0;0;0;11.26203122;0;0;0;0;0;2.252406243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;control;DK;0;624.0713371;0;0;0;0;0;0;0;15.09850009;0;0;10.06566673;35.22983355;0;0;0;35.22983355;35.22983355;0;0;0;0;0;10.06566673;0;0;0;0;30.19700018;0;85.55816718;10.06566673;15.09850009;45.29550027;10.06566673;0;40.26266691;0;0;0;0;35.22983355;0;0;407.6595025;0;80.52533382;0;0;0;0;50.32833364;0;0;0;0;0;0
2;1;control;DK;0;389.8400447;0;0;0;0;0;0;0;0;0;0;8.207158837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.103579418;0;0;0;0;0;8.207158837;0;0;0;0;49.24295302;28.72505593;0;254.4219239;0;28.72505593;0;0;0;0;0;0;0;0;0;0;0
3;1;control;DK;0;352.5667532;0;0;0;0;0;0;0;4.764415584;0;0;0;0;0;0;0;0;14.29324675;0;0;0;0;0;4.764415584;0;0;0;0;0;0;9.528831169;0;9.528831169;0;0;0;9.528831169;0;0;0;0;57.17298701;0;0;204.8698701;4.764415584;23.82207792;0;0;0;0;52.40857143;0;0;0;0;0;0
4;1;control;DK;0;1815.263529;0;0;0;0;0;0;0;30.59432913;0;0;0;0;0;0;0;20.39621942;30.59432913;0;0;0;0;0;0;0;0;0;0;0;0;112.1792068;0;40.79243884;0;10.19810971;0;112.1792068;0;0;0;0;163.1697554;0;0;877.0374351;10.19810971;122.3773165;0;0;0;0;40.79243884;0;0;0;0;0;0
5;1;control;DK;0;205.8762276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.289088075;0;0;0;0;0;0;0;0;0;0;0;0;0;12.86726422;0;0;0;0;0;4.289088075;0;0;0;0;102.9381138;0;0;145.8289945;4.289088075;25.73452845;0;0;0;0;12.86726422;0;0;0;0;0;0
6;1;control;DK;0;486.1219081;0;0;0;0;0;0;0;0;0;0;6.481625442;0;0;0;0;6.481625442;16.2040636;0;0;0;0;0;3.240812721;0;0;0;0;3.240812721;0;19.44487633;0;0;64.81625442;0;0;29.16731449;0;0;6.481625442;0;6.481625442;6.481625442;0;74.53869258;0;9.722438163;0;0;0;0;9.722438163;0;0;0;0;0;0
7;1;control;DK;0;140.1089552;0;0;0;0;0;0;0;4.831343284;0;0;0;0;0;0;0;14.49402985;0;0;0;0;0;0;0;0;0;0;0;0;0;24.15671642;0;0;0;0;0;14.49402985;0;0;0;0;86.9641791;0;0;270.5552239;0;28.9880597;0;0;0;0;9.662686567;0;0;0;0;0;0
1;1;TU-1;DK;0;58.08831809;0;0;0;0;0;0;0;7.745109078;0;0;1.93627727;1.93627727;0;0;0;3.872554539;3.872554539;0;0;0;0;0;3.872554539;0;0;0;0;0;0;34.85299085;0;9.681386348;1.93627727;0;0;11.61766362;0;0;0;0;9.681386348;0;0;98.75014075;0;3.872554539;0;0;0;0;0;0;0;0;0;0;0
2;1;TU-1;DK;0;159.7358491;0;0;0;2.852425876;0;0;0;8.557277628;0;0;34.22911051;0;0;0;0;11.4097035;2.852425876;0;0;0;0;2.852425876;22.81940701;2.852425876;0;0;0;0;0;88.42520216;0;2.852425876;14.26212938;0;0;145.4737197;0;0;0;0;19.96698113;11.4097035;0;330.8814016;0;45.63881402;0;0;0;0;0;0;0;0;0;0;0
3;1;TU-1;DK;0;193.5673412;0;0;0;0;0;0;0;35.91971279;0;0;57.87064839;0;0;0;0;51.88402959;0;0;0;0;0;0;9.977697998;0;0;0;0;0;0;15.9643168;0;21.9509356;1.9955396;0;0;59.86618799;0;0;0;0;57.87064839;0;0;143.6788512;1.9955396;13.9687772;0;0;0;0;21.9509356;0;0;0;0;0;0
4;1;TU-1;DK;0;289.1016304;0;9.969021739;0;0;0;0;0;49.8451087;0;0;69.78315217;3.323007246;0;0;0;13.29202899;0;0;0;0;0;0;0;0;0;0;0;0;0;76.42916667;0;46.52210145;0;0;0;16.61503623;0;0;0;0;196.0574275;0;0;295.7476449;16.61503623;36.55307971;6.646014493;0;0;0;16.61503623;0;0;0;0;0;0
5;1;TU-1;DK;0;247.0461821;0;0;0;0;0;0;0;4.29645534;0;0;53.70569176;0;0;0;0;27.92695971;8.592910681;0;0;0;0;0;4.29645534;0;0;0;0;6.444683011;0;55.85391943;0;19.33404903;4.29645534;0;0;17.18582136;0;0;0;0;25.77873204;64.44683011;0;111.7078389;2.14822767;15.03759369;4.29645534;0;0;0;23.63050437;0;0;0;0;0;0
6;1;TU-1;DK;0;317.7269643;0;0;0;0;0;0;0;32.75535714;0;0;29.47982143;6.551071429;0;0;0;3.275535714;3.275535714;0;0;0;0;0;6.551071429;0;0;0;0;16.37767857;0;45.8575;0;6.551071429;9.826607143;0;0;16.37767857;0;0;0;0;26.20428571;0;0;429.0951786;0;55.68410714;0;0;0;0;19.65321429;0;0;0;0;0;0
